,cntSender,cntRecipient
Smorrison Mailbmc,0.0,2.0
So Rice,0.0,2.0
Sobotkad Kochind,0.0,2.0
Sobulej Kenergy,0.0,2.0
Soh,0.0,2.0
Sommer,0.0,2.0
Sonia,0.0,2.0
Spector,0.0,2.0
Spencer Vosko,0.0,2.0
Splauch,0.0,2.0
Sportingbetusa Sportingbet,0.0,2.0
Sprowls,0.0,2.0
Sprungm Pogoproducing,0.0,2.0
Sql Requests,0.0,2.0
Sqlserverdba,0.0,2.0
Sraatz Warburgpincus,0.0,2.0
Sramos,0.0,2.0
Srbateson,0.0,2.0
Sritter,0.0,2.0
Sroach@Gibbs_Brun.Com,0.0,2.0
Srodrig,0.0,2.0
Srosenberg Newdem,0.0,2.0
Srritch,0.0,2.0
Sryan Aesc,0.0,2.0
Sschott,0.0,2.0
Ssheldo,0.0,2.0
Sshollis Duanemorris,0.0,2.0
Ssimpson Quadraenergy,0.0,2.0
Ssinclair Simsfurniture,0.0,2.0
Sspaldi@Enron.Com,0.0,2.0
Sstewart Markwest,0.0,2.0
Sstf Ercot,0.0,2.0
Sstock Option Grant List,0.0,2.0
Sswalters Stoel,0.0,2.0
Sswanson Thewoodlands,0.0,2.0
Stacey Duplessis,0.0,2.0
Stacey Neuweiller,0.0,2.0
Staci Spalding,0.0,2.0
Stacy Carey,0.0,2.0
Stamer Wharton Upenn,0.0,2.0
Stamnitz Globalphoton,0.0,2.0
Stan,0.0,2.0
Stanchas,0.0,2.0
Starr,0.0,2.0
State Government,0.0,2.0
Steffense Dteenergy,0.0,2.0
Stella L,0.0,2.0
Stephanie Goldman,0.0,2.0
Stephanie J,0.0,2.0
Stephanie Smith,0.0,2.0
Stephanie Wade,0.0,2.0
Stephen Benchluch,0.0,2.0
Stephen Miller,0.0,2.0
Steprg Bracepatt,0.0,2.0
Steve Apiweb,0.0,2.0
Steve Debruyn Notes Teradyne,0.0,2.0
Steve Duffy,0.0,2.0
Steve Leppard,0.0,2.0
Steve Murphy,0.0,2.0
Steve R,0.0,2.0
Steve Schleicher,0.0,2.0
Steve Vanhooser,0.0,2.0
Stevehpl Schneider,0.0,2.0
Steven Allen,0.0,2.0
Steven Ehrig,0.0,2.0
Steven Mccarthy,0.0,2.0
Steven P,0.0,2.0
Steven Roselius,0.0,2.0
Stewart Range,0.0,2.0
Stewart Smith,0.0,2.0
Stholan,0.0,2.0
Sthorne Synagro,0.0,2.0
Stig Faltinsen,0.0,2.0
Stipelcovich,0.0,2.0
Stock Steve,0.0,2.0
Stockgrok Thestandard Publisher,0.0,2.0
Stoney Buchanan,0.0,2.0
Stovall,0.0,2.0
Stransky,0.0,2.0
Stuart Schardin,0.0,2.0
Styler Spahouston,0.0,2.0
Styles,0.0,2.0
Suchoff,0.0,2.0
Sufly,0.0,2.0
Sumitb,0.0,2.0
Sunil Misser,0.0,2.0
Sunshin Trib,0.0,2.0
Susan Brower,0.0,2.0
Susan Dyer,0.0,2.0
Susan Harvey,0.0,2.0
Susan Ladonnagatlin,0.0,2.0
Susan Ralph,0.0,2.0
Suzanne Bain,0.0,2.0
Suzanne Marshall,0.0,2.0
Svarbour,0.0,2.0
Svessels Pdq,0.0,2.0
Swarthout,0.0,2.0
Swatkins,0.0,2.0
Swehner Dow,0.0,2.0
Swestbr,0.0,2.0
Swhalen Calstate,0.0,2.0
Swinney,0.0,2.0
Swise Ophir Esd K,0.0,2.0
Syeager Fyi,0.0,2.0
Syon,0.0,2.0
Syyoun Skadden,0.0,2.0
T Compton,0.0,2.0
Ta Barry,0.0,2.0
Tacaton,0.0,2.0
Taeagan Swbell,0.0,2.0
Tagmajulie,0.0,2.0
Takashi Kimura,0.0,2.0
Takriti Ibm,0.0,2.0
Tallen Buckham,0.0,2.0
Tam Nguyen,0.0,2.0
Tambornino,0.0,2.0
Tammi,0.0,2.0
Tammy,0.0,2.0
Tammy Gonzales,0.0,2.0
Tammy Kovalcik,0.0,2.0
Tang Vincent,0.0,2.0
Tania Calvao,0.0,2.0
Tanja Murray,0.0,2.0
Taperkin Southernco Perkins Todd Ctaperkin,0.0,2.0
Task Force,0.0,2.0
Taylam@Bracepatt.Com,0.0,2.0
Taylojp Texaco,0.0,2.0
Tbradley Bracepatt,0.0,2.0
Tbunge Texasgbc,0.0,2.0
Tchapm,0.0,2.0
Tclark Pcenergy,0.0,2.0
Tcplnews Listsrv Transcanada,0.0,2.0
Tcsjws,0.0,2.0
Tdang,0.0,2.0
Tdavis,0.0,2.0
Tdepaolis Sequentenergy,0.0,2.0
Tdh Y Kenergy,0.0,2.0
Tdhruv,0.0,2.0
Teachfirst,0.0,2.0
Team Andrews Brownfield,0.0,2.0
Team Beatrice,0.0,2.0
Team Mountainair,0.0,2.0
Team Ogden Field,0.0,2.0
Team Pampa,0.0,2.0
Team Roswell Capitan,0.0,2.0
Team Spearman,0.0,2.0
Team Sublette,0.0,2.0
Tech Team,0.0,2.0
Telecon Ftenergy,0.0,2.0
Terry Lehn,0.0,2.0
Terry Peng,0.0,2.0
Texasjake Michael J Turner Ctexasjake,0.0,2.0
Tfiandt,0.0,2.0
Tfpflug Pkllc,0.0,2.0
Tgalt,0.0,2.0
Tgeaccon,0.0,2.0
Tgoodnight Amfm,0.0,2.0
Tharris,0.0,2.0
Tharsilla,0.0,2.0
The Globalist,0.0,2.0
Theodore Schwab,0.0,2.0
Theresa Toward,0.0,2.0
Therese Lohman,0.0,2.0
Therman Wilmingtontrust,0.0,2.0
Tholan,0.0,2.0
Thomas Engels,0.0,2.0
Thomas Patton,0.0,2.0
Thomas Rumsey,0.0,2.0
Thomas Sroka,0.0,2.0
Ticketwarehouse,0.0,2.0
Tiffani,0.0,2.0
Tiko Reynolds,0.0,2.0
Tilney,0.0,2.0
Tim Beldon,0.0,2.0
Tim Bethel,0.0,2.0
Tim Leggett,0.0,2.0
Tim Neuman,0.0,2.0
Tim Orourke,0.0,2.0
Tim Riordan,0.0,2.0
Timalcott,0.0,2.0
Timothy Erday,0.0,2.0
Timothy Murphy,0.0,2.0
Timprice Globalhobby,0.0,2.0
Tina Ly Die,0.0,2.0
Tjc Argolink,0.0,2.0
Tk,0.0,2.0
Tkill,0.0,2.0
Tlbossola,0.0,2.0
Tmarque,0.0,2.0
Tmayes,0.0,2.0
Tmcnamara As Coa,0.0,2.0
Tmihalik,0.0,2.0
Tmonaldo Mrg,0.0,2.0
Tmullin Milesstockbridge,0.0,2.0
Tobin Alland,0.0,2.0
Toby,0.0,2.0
Todagost Utmb,0.0,2.0
Todd Ballengee,0.0,2.0
Toddcarroll Interim,0.0,2.0
Toddez Ngaortho,0.0,2.0
Todonnell@Hollandhart.Com,0.0,2.0
Todrefco,0.0,2.0
Tolan Ev,0.0,2.0
Tom Bres,0.0,2.0
Tom Edonohoe,0.0,2.0
Tom Giles,0.0,2.0
Tom Huntington,0.0,2.0
Tom Kearney,0.0,2.0
Tom Mertz,0.0,2.0
Tom Popplewell,0.0,2.0
Tom Rainbow,0.0,2.0
Tomas,0.0,2.0
Tommy Temple,0.0,2.0
Tompopplewell Akllp,0.0,2.0
Toniakoppenaal Msualum,0.0,2.0
Tony Brown,0.0,2.0
Tony Gatherco,0.0,2.0
Tony Mataya,0.0,2.0
Tori Hayden,0.0,2.0
Tour Palmergolf,0.0,2.0
Tpape Satake Usa Pape Travis Ctpape,0.0,2.0
Tproffi,0.0,2.0
Tracey Cooper,0.0,2.0
Tracikirkpatrick Dwt,0.0,2.0
Tracksters,0.0,2.0
Tracy Adams,0.0,2.0
Tracy Barlow,0.0,2.0
Tracy Prater,0.0,2.0
Trader Mailman,0.0,2.0
Tradesparknotice Tradespark,0.0,2.0
Tragar Texas,0.0,2.0
Training Caminus,0.0,2.0
Transportation,0.0,2.0
Traviswc,0.0,2.0
Trbrandyberg,0.0,2.0
Trent Taylor,0.0,2.0
Trista,0.0,2.0
Trond Branem,0.0,2.0
Tschmehl Com,0.0,2.0
Tschoppe,0.0,2.0
Tscott,0.0,2.0
Tseminuk,0.0,2.0
Tshumway Orinc,0.0,2.0
Tsiguaw Markethubs,0.0,2.0
Tsoto Epelectric,0.0,2.0
Ttaylor,0.0,2.0
Ttoerner Reliant,0.0,2.0
Tuck Pinehurst,0.0,2.0
Tuckiejeff Jeff Pearson Ctuckiejeff,0.0,2.0
Tvasut,0.0,2.0
Tvu,0.0,2.0
Twaldrop Robinsonwaldrop,0.0,2.0
Twanda,0.0,2.0
Twarner,0.0,2.0
Twetzel Thermoecotek,0.0,2.0
Twilbeck,0.0,2.0
Twright,0.0,2.0
Txsnyder,0.0,2.0
Ubsw,0.0,2.0
Ubsw Portland,0.0,2.0
Ubswenergyhouston,0.0,2.0
Ubswenergyrealportlandrealtime,0.0,2.0
Ucftsas Ucl Ac Uk,0.0,2.0
Ueng Stthom,0.0,2.0
Ufeeley,0.0,2.0
Uhsammy,0.0,2.0
Ulrich Cartellieri,0.0,2.0
Undisclosed Mailman,0.0,2.0
Undisclosed Recipient Cadvision,0.0,2.0
"Undisclosed-Recipient:@Albatross.Prod.Itd.Earthlink.Net,",0.0,2.0
"Undisclosed-Recipient:@Harrier.Mail.Pas.Earthlink.Net,",0.0,2.0
"Undisclosed-Recipient:@Sneety.Insync.Net,",0.0,2.0
"Undisclosed-Recipient:@Swan.Mail.Pas.Earthlink.Net,",0.0,2.0
Unknown,0.0,2.0
Unsub X Pacl Neeotqbz Mta Optamail,0.0,2.0
Unsubscribe,0.0,2.0
Unverzagt,0.0,2.0
Upwindmark,0.0,2.0
Utilities Information,0.0,2.0
Valarie,0.0,2.0
Valencia,0.0,2.0
Valentine,0.0,2.0
Valeria Stone,0.0,2.0
Valerie Ridinger,0.0,2.0
Valley,0.0,2.0
Valuableclients Mailman,0.0,2.0
Valued Client,0.0,2.0
Valued Owner,0.0,2.0
Van,0.0,2.0
Van Gelder,0.0,2.0
Vanessa,0.0,2.0
Vberrios,0.0,2.0
Vbuckley Lockeliddell,0.0,2.0
Vbulbes,0.0,2.0
Vcedwards,0.0,2.0
Veariel,0.0,2.0
Veatch,0.0,2.0
Vega,0.0,2.0
Vel Watkins,0.0,2.0
Velvet Earthlink,0.0,2.0
Venona Greaff,0.0,2.0
Vergara,0.0,2.0
Veronica Brock Cveronica Fbrock,0.0,2.0
Veronica Cherry,0.0,2.0
Vetters,0.0,2.0
Vfloris,0.0,2.0
Vgriffin,0.0,2.0
Vguggen,0.0,2.0
Vicintlltd,0.0,2.0
Victoria Bedingfield,0.0,2.0
Victoria Martinez,0.0,2.0
Victoria Mccarthy,0.0,2.0
Victoria Wilbeck,0.0,2.0
Villela,0.0,2.0
Vincek Cs Stanford,0.0,2.0
Vincent Tennariello,0.0,2.0
Vitrella,0.0,2.0
Vjelvis,0.0,2.0
Vkaminski Ol,0.0,2.0
Vkerr,0.0,2.0
Vmeyer,0.0,2.0
Vpatel Water,0.0,2.0
Vrhh K Wrf Jf,0.0,2.0
Vsacheson,0.0,2.0
Vschaff Alleghenypower,0.0,2.0
Vstone Lcra,0.0,2.0
Vviola Nymex,0.0,2.0
Walding,0.0,2.0
Wally Shaw,0.0,2.0
Walter Gontarek,0.0,2.0
Walter Sutton,0.0,2.0
Walters Jr,0.0,2.0
Wanda,0.0,2.0
Wanda Labaume,0.0,2.0
Warrickfranklin,0.0,2.0
Warriors Fp,0.0,2.0
Watson,0.0,2.0
Waverly Layfam,0.0,2.0
Wax,0.0,2.0
Wayne Brunette,0.0,2.0
Wayne Perry Fdevelopment,0.0,2.0
Wbn Blakes,0.0,2.0
Wbombich Swlp,0.0,2.0
Wbrown,0.0,2.0
Wcinibulk,0.0,2.0
Wearlward,0.0,2.0
Weatherstone,0.0,2.0
Webmaster Smith,0.0,2.0
Webmaster Starfurniture,0.0,2.0
Wedgedunn,0.0,2.0
Weeklywrap Text Mailing Smartmoneylist,0.0,2.0
Weller,0.0,2.0
Welsh,0.0,2.0
Wendy,0.0,2.0
Wendy Dunford,0.0,2.0
Wendy Gonzalez,0.0,2.0
Wendy Hfsm,0.0,2.0
Wentapb Phoenix Cement,0.0,2.0
Wes Colwell Hou,0.0,2.0
Wexler Pdq,0.0,2.0
Wfincher,0.0,2.0
Wfreije,0.0,2.0
Wgang,0.0,2.0
Wgardner,0.0,2.0
Wgmanuel Tid,0.0,2.0
Wgramm Gmu,0.0,2.0
Whain Pace,0.0,2.0
White Stacey,0.0,2.0
Whitehead Jonathan,0.0,2.0
Whittaker,0.0,2.0
Wilford Dodd,0.0,2.0
Wilkes,0.0,2.0
Will Shutt,0.0,2.0
William Askew,0.0,2.0
William Cosby,0.0,2.0
William Giuliani,0.0,2.0
William Glass,0.0,2.0
William Merrell,0.0,2.0
William Nordhaus,0.0,2.0
William Palazzo,0.0,2.0
Williams Jason,0.0,2.0
Willie,0.0,2.0
Willie Scott,0.0,2.0
Wilson Ssjmlaw,0.0,2.0
Windle,0.0,2.0
Wine Bassins,0.0,2.0
Wisemanm Sullcrom,0.0,2.0
Wizard,0.0,2.0
Wk Transcarriers Wes Kersey Cwk,0.0,2.0
Wkimball,0.0,2.0
Wmaines Mfml,0.0,2.0
Wmays,0.0,2.0
Wmiller Mbolaw,0.0,2.0
Wnemec Ikon,0.0,2.0
Wojcik Jr,0.0,2.0
Wolson Nm,0.0,2.0
Worldwide Special,0.0,2.0
Worldwide Special List,0.0,2.0
Wrbahl Roysterclark,0.0,2.0
Wrede,0.0,2.0
Wsims Optonline,0.0,2.0
Wstewar,0.0,2.0
Wtashnek Sgfimat,0.0,2.0
Wtaylor Creighton,0.0,2.0
Wu,0.0,2.0
Wurmanrs,0.0,2.0
Wynay,0.0,2.0
Wys Blakes,0.0,2.0
X Usma,0.0,2.0
Xiaoming Ding,0.0,2.0
Xtnd,0.0,2.0
Xuni Olin Wustl,0.0,2.0
Y Barbo Paul,0.0,2.0
Yao Apasu/Enron_Development At Enron_Development@Ccmail @ Enron,0.0,2.0
Yapasu,0.0,2.0
Yconnev,0.0,2.0
Yoder Christian,0.0,2.0
Yongcho,0.0,2.0
Yottra Apci,0.0,2.0
Yvette Pinero,0.0,2.0
Yvette Tims Itc Harris Tx,0.0,2.0
Yvonne Laing,0.0,2.0
Zabawa,0.0,2.0
Zach Williams,0.0,2.0
Zachary May,0.0,2.0
Zajac,0.0,2.0
Zatarain,0.0,2.0
Zermeno,0.0,2.0
Zikes,0.0,2.0
Zimam,0.0,2.0
Zitnik,0.0,2.0
Zlu,0.0,2.0
Zucha,0.0,2.0
 - *Joan.Veselack@Enron.Com,0.0,1.0
 - *Murex@Manado.Wasantara.Net.Id,0.0,1.0
" - *Stiles, Marianne",0.0,1.0
"""""Mossyuk""@Hotmail.Com""",0.0,1.0
""")Bob.M.Hall""@Enron.Com",0.0,1.0
"""Burgess Rountree""@Smtp.Onr.Com",0.0,1.0
"""Chris Edmonds""@Carvey.Adgrafix.Com",0.0,1.0
"""Chris Higgs""@Smtp.Onr.Com",0.0,1.0
"""Cianf""@Enron>",0.0,1.0
"""Customer_Accounting""@Hertz.Com",0.0,1.0
"""F_Mitro%Hotmail%Abb_Ustra%Abb_Notes""@Us.Abb.Com",0.0,1.0
"""James.Love@Msl.R=??????",0.0,1.0
"""Jeffrey Watkiss"" <Dwatkiss@Bracepatt.Comalan.Comnes@Enron.Com",0.0,1.0
"""Jim Mccomb""@Smtp.Onr.Com",0.0,1.0
"""Leslie.Reeves@Enr???????????",0.0,1.0
"""Members@Realmoney.Com""@Mailman.Enron.Com",0.0,1.0
"""Mhaedic@Ect.Enron.Com""@Mailman.Enron.Com",0.0,1.0
"""Notes:Nic""@Enron",0.0,1.0
"""Price_Reservations""@Nyiso.Com",0.0,1.0
"""Ryan Lee"" <Ralee@Rmi.Net>@Enron",0.0,1.0
"""Sandi""@Simmer.Isd.Net",0.0,1.0
"""Sebmurex,_Chip.Bjorklund""@Bedizen.Com",0.0,1.0
"""Tom.Donohoe[Sm""@Enron.Com",0.0,1.0
"""Undisclosed""@Littleblue.Ipgdirect.Com",0.0,1.0
"""Undisclosed-Recipient:""@Mail3.Cadvision.Com",0.0,1.0
"""Vavrek, Carolyn (Us - San Francisco)"" """,0.0,1.0
"""Will Shutt""@Host2.Webtwister.Com",0.0,1.0
"""Wiz.Ixgate:Vir""@Enron.Com",0.0,1.0
"""\ Dylan Windham\  <Smtp:Dwindham@Uclink4.Berkeley.Edu>"" <""Dylan Windham""",0.0,1.0
"""\ \""\\ Dylan Windham\\",0.0,1.0
"'Andrea.V.Reed@Enron.Com' <Andrea.V.Reed, ""'Anne.C.Koehler@Enron.Com'""<Anne.C.Koehler,>",0.0,1.0
'Esarte@Haas.Berkeley.Edu',0.0,1.0
"'Jdasovic@Enron.Com' <Jdasovic, ""Williams,>",0.0,1.0
'Lpliska@Haas.Berkeley.Edu',0.0,1.0
94094@Mailman.Enron.Com,0.0,1.0
A Gelotti,0.0,1.0
A Peshkoff,0.0,1.0
A-L-Brian@Fred.Masterpage.Com.Pl,0.0,1.0
Aa Ae Ac,0.0,1.0
Aa Cc,0.0,1.0
Aa Cc Fe,0.0,1.0
Aa Ccf,0.0,1.0
Aa Ea,0.0,1.0
Aa Ee Bf,0.0,1.0
Aa Fd Fb,0.0,1.0
Aa Fe,0.0,1.0
Aa Ffd,0.0,1.0
Aa Sbc,0.0,1.0
Aa Txmail Sbc,0.0,1.0
Aababp Pplweb,0.0,1.0
Aabraham,0.0,1.0
Aadovasio Newscorp,0.0,1.0
Aafb Fdb,0.0,1.0
Aahill Kmpg,0.0,1.0
Aahmad,0.0,1.0
Aahmed,0.0,1.0
Aalmazan Utexas,0.0,1.0
Aamacewen Dow,0.0,1.0
Aamron Wexford,0.0,1.0
Aandrews Gie,0.0,1.0
Aandsnath,0.0,1.0
Aaoliver Utmb,0.0,1.0
Aare Vp Directors And Managers,0.0,1.0
Aaric Foree,0.0,1.0
Aarmstrong Sempratrading,0.0,1.0
Aaron Comaltexins,0.0,1.0
Aaron Jang,0.0,1.0
Aaron Kirsten,0.0,1.0
Aaron Lowe,0.0,1.0
Aaron Nelson,0.0,1.0
Aaron Prlcny,0.0,1.0
Aarons Aberrant,0.0,1.0
Aarons Horizoncapitalbank,0.0,1.0
Aashburn Mindspring Samy Ashburn,0.0,1.0
Aaybarra Utmb,0.0,1.0
Ab Acb Ae,0.0,1.0
Ab Dd,0.0,1.0
Ab Ea Cbefb,0.0,1.0
Ab Fc Db,0.0,1.0
Ab Fcf,0.0,1.0
Ab Netposta,0.0,1.0
Abadijr Texaco,0.0,1.0
Abag Cta,0.0,1.0
Abakarich Renfrew Insurance,0.0,1.0
Abalberg Houserv,0.0,1.0
Abarnett,0.0,1.0
Abasur Sprintspectrum,0.0,1.0
Abaxter Uswest,0.0,1.0
Abba Gana,0.0,1.0
Abbott,0.0,1.0
Abboudy,0.0,1.0
Abbylopez Pdq,0.0,1.0
Abcb Dec Cf,0.0,1.0
Abdullah,0.0,1.0
Abernathj@Haas.Berkeley.Edu,0.0,1.0
Aberton Ei,0.0,1.0
Abhickman,0.0,1.0
Abi Nix,0.0,1.0
Abillings Knowledgeinenergy Aiysha Billings Cabillings,0.0,1.0
Ablumden Smartenergy,0.0,1.0
Abm,0.0,1.0
Aboerrs Repsol Ypf,0.0,1.0
Abraham Solomon,0.0,1.0
Abrahams,0.0,1.0
Abreco Ix Netcom,0.0,1.0
Abrock Poloralphlauren Brock Alex Cabrock,0.0,1.0
Abrown Iusb,0.0,1.0
Abrown Redstonebank,0.0,1.0
Abs Psu,0.0,1.0
Absteen Dakotacom,0.0,1.0
Abu Bundu,0.0,1.0
Aburlina,0.0,1.0
Ac Bb,0.0,1.0
Ac Be Ce,0.0,1.0
Aca,0.0,1.0
Aca Aa,0.0,1.0
Acampbell Reliant,0.0,1.0
Acba Bc,0.0,1.0
Acctdept Alaweb,0.0,1.0
Ace May,0.0,1.0
Aceversull,0.0,1.0
Achaber Entergy,0.0,1.0
Acharan,0.0,1.0
Acherzer Optonline,0.0,1.0
Achimlindhorst Mgrecycling Mgltd,0.0,1.0
Achowdry Transenergy,0.0,1.0
Acjbaber,0.0,1.0
Ackerman Wapa,0.0,1.0
Ackertdm,0.0,1.0
Aclemons Notes,0.0,1.0
Aclhart,0.0,1.0
Acnnrg Cta,0.0,1.0
Acollin,0.0,1.0
Aconge Pdq,0.0,1.0
Acrawford Sonypictures,0.0,1.0
Acrysdale Mba,0.0,1.0
Acsutton,0.0,1.0
Act,0.0,1.0
Activelist Activestate,0.0,1.0
Ad Ef Dd Da,0.0,1.0
Adam Buffy,0.0,1.0
Adam Dushinske,0.0,1.0
Adam Fauten Xtoenergy,0.0,1.0
Adam Thomas,0.0,1.0
Adam Watts,0.0,1.0
Adamk Ml,0.0,1.0
Adamsd Hongkong,0.0,1.0
Adamson,0.0,1.0
Adamsotj Bp,0.0,1.0
Adan Garcia,0.0,1.0
Adarsh,0.0,1.0
Adauzat Lsu,0.0,1.0
Adc,0.0,1.0
Adc Nearbycafe,0.0,1.0
Adda Cf Bcda,0.0,1.0
Addvancepq,0.0,1.0
Adele Amurao,0.0,1.0
Adelligatti Brobeck,0.0,1.0
Adels,0.0,1.0
Ademuzio,0.0,1.0
Adenwala,0.0,1.0
Adesousa,0.0,1.0
Adeyinka,0.0,1.0
Adicapr Utilicorp,0.0,1.0
Admin Houstontech,0.0,1.0
Admin Johnscotti,0.0,1.0
Administrator Hollings Senate,0.0,1.0
Administrator Mailman,0.0,1.0
Administrator Techxans,0.0,1.0
Admission Jhubc It,0.0,1.0
Admission Jhuwash Jhu,0.0,1.0
Adorazi,0.0,1.0
Adove Enogex,0.0,1.0
Adrial,0.0,1.0
Adrian Schulzeff Shrwd,0.0,1.0
Adriana Celedon,0.0,1.0
Adriana Fabregas,0.0,1.0
Adriana Peterson,0.0,1.0
Adrienneanderson Aec,0.0,1.0
Adsalas,0.0,1.0
Adsproject Caiso,0.0,1.0
Aducan Kilpatrickstockton,0.0,1.0
Aduran,0.0,1.0
Adushins,0.0,1.0
Advisory Board Cng,0.0,1.0
Adwelch,0.0,1.0
Ae Ba,0.0,1.0
Ae Ed,0.0,1.0
Aea De,0.0,1.0
Aeastwoo,0.0,1.0
Aebrown Santeecooper,0.0,1.0
Aed,0.0,1.0
Aed Fc,0.0,1.0
Aedc,0.0,1.0
Aedison Bracepatt,0.0,1.0
Aeeba,0.0,1.0
Aejsr,0.0,1.0
Aem Bomchil Ar,0.0,1.0
Aervin,0.0,1.0
Aescami,0.0,1.0
Aet Pge,0.0,1.0
Af Ae Ce,0.0,1.0
Af Aef,0.0,1.0
Af Fe,0.0,1.0
Afa Be,0.0,1.0
Afa Eea Abfcd,0.0,1.0
Afastow,0.0,1.0
Afb Ae,0.0,1.0
Afc Ebd,0.0,1.0
Afernan Entergy,0.0,1.0
Aflower Csc,0.0,1.0
Afried Cantor,0.0,1.0
Afulco Goodkindinc,0.0,1.0
Afw Blakes,0.0,1.0
Agapetvl Swbell,0.0,1.0
Agarner Reliant,0.0,1.0
Agarza Wsbc,0.0,1.0
Agatewood Aristotle,0.0,1.0
Agatha,0.0,1.0
Agave Pvtnetworks,0.0,1.0
Agaw Gilbertglobal,0.0,1.0
Agbriggs Adamswells,0.0,1.0
Agcdu Triax,0.0,1.0
Ageevarghese Hesinet,0.0,1.0
Aggie Swbell,0.0,1.0
Agheb,0.0,1.0
Agnew,0.0,1.0
Agonzale,0.0,1.0
Agostino,0.0,1.0
Agreene Mfah,0.0,1.0
Agregory Globeop,0.0,1.0
Agrovil Huglushotguns,0.0,1.0
Agruden Naturabella,0.0,1.0
Aguilera Peon Maria Teresa,0.0,1.0
Aguille,0.0,1.0
Aguirre,0.0,1.0
Aharpaz Doverinstrument,0.0,1.0
Ahauser Txpetrochem,0.0,1.0
Ahayman Stblaw,0.0,1.0
Ahcl Dynegy,0.0,1.0
Ahefferm,0.0,1.0
Ahenders Aglresources,0.0,1.0
Ahenry Ev,0.0,1.0
Ahill,0.0,1.0
Ahkalbacher Njresources,0.0,1.0
Ahmedxii,0.0,1.0
Ahsieh,0.0,1.0
Ahuertas,0.0,1.0
Ahuertas Uk,0.0,1.0
Aida Alvarez,0.0,1.0
Aidan.Mcnulty@Riskmetrics.Com,0.0,1.0
Aiessi Poseidon,0.0,1.0
Aile Mailman,0.0,1.0
Ain Worldnet Att,0.0,1.0
Airphotodave,0.0,1.0
Aisabella Nyiso,0.0,1.0
Ajafry,0.0,1.0
Ajarret,0.0,1.0
Ajay Thomas,0.0,1.0
Ajfintz Snopud,0.0,1.0
Ajgillett,0.0,1.0
Ajit Gill,0.0,1.0
Ajnovero Iwon,0.0,1.0
Ajones Diamondscientific,0.0,1.0
Ajulian,0.0,1.0
Ak,0.0,1.0
Akarabat,0.0,1.0
Akariot Nbg Gr,0.0,1.0
Akashabibb,0.0,1.0
Akatvod,0.0,1.0
Akawaja,0.0,1.0
Akhan Khanventures,0.0,1.0
Akholmes Swidlaw,0.0,1.0
Akidd Marathonoil,0.0,1.0
Akiko Hirano,0.0,1.0
Akikomark Rocketmail,0.0,1.0
Aklein Kelleydrye,0.0,1.0
Aklodow Alleghaenyenergy,0.0,1.0
Aklodow Alleghaneyenergy,0.0,1.0
Aknittel Ford,0.0,1.0
Akoelemay Coge,0.0,1.0
Akoenig Bksklaw,0.0,1.0
Akohler Wolfblock,0.0,1.0
Akorth Riveroaksimaging,0.0,1.0
Akrachman Bracepatt,0.0,1.0
Akratish Gscpartners,0.0,1.0
Akrone,0.0,1.0
Akyles Hcde Texas,0.0,1.0
Al Miralles,0.0,1.0
Al Mitchell,0.0,1.0
Al Shaver,0.0,1.0
Alacartesw,0.0,1.0
Alafave,0.0,1.0
Alan Aronowitz Hou,0.0,1.0
Alan Baumbusch,0.0,1.0
Alan Buckwalter,0.0,1.0
Alan Childress,0.0,1.0
Alan Coad,0.0,1.0
Alan Kean,0.0,1.0
Alan Kohler Cakohler Wolfblock,0.0,1.0
Alan Muntz,0.0,1.0
Alan Nahman,0.0,1.0
Alan Prenoveau Ngsinc,0.0,1.0
Alan Progas,0.0,1.0
Alan Reid Pcp,0.0,1.0
Alan Seidelmann Anderson Ucla,0.0,1.0
Alan Stringer,0.0,1.0
Alan Taylor Anadarko,0.0,1.0
Alan Tippett,0.0,1.0
Alanderson,0.0,1.0
Alanderson Enmergy,0.0,1.0
Alangfel,0.0,1.0
Alannou,0.0,1.0
Alarsen120@Aol.Com @ Enron,0.0,1.0
Alaw Avistaenergy,0.0,1.0
Alazar Allenco,0.0,1.0
Albergor Haynesboone,0.0,1.0
Albert Mcclaran,0.0,1.0
Albert Wood,0.0,1.0
Albrecht Jason Emc,0.0,1.0
Albuquerque,0.0,1.0
Alden Zeitz,0.0,1.0
Aldis,0.0,1.0
Aldis Russell,0.0,1.0
Aleerhea,0.0,1.0
Alejandra,0.0,1.0
Alejandrachavez,0.0,1.0
Aleka Scott Pngc,0.0,1.0
Alender,0.0,1.0
Alents,0.0,1.0
Aleo Powermerchants,0.0,1.0
Alerios Entelchile,0.0,1.0
Alessandro,0.0,1.0
Alewis Cts,0.0,1.0
Alewis Gnn,0.0,1.0
Alewis Infi,0.0,1.0
Alex Bandini,0.0,1.0
Alex Engles Csi,0.0,1.0
Alex Henry,0.0,1.0
Alex Macd,0.0,1.0
Alex Mcleish,0.0,1.0
Alex Niemer,0.0,1.0
Alex Parsons Euenronxgate,0.0,1.0
Alex Shea,0.0,1.0
Alexamms Sce,0.0,1.0
Alexander Eydeland,0.0,1.0
Alexander Martinez,0.0,1.0
Alexander Personnel,0.0,1.0
Alexander Perwich,0.0,1.0
Alexandra Tgharchs,0.0,1.0
Alexandria W Valentine Cngp Cng,0.0,1.0
Alexdinh,0.0,1.0
Alexdugas,0.0,1.0
Alexh Alumni Rice,0.0,1.0
